Symbol,Nazwa,SUM z Stan
-5902349016870,Skarbonka,2
0,Klej do balonów,3
"0,5904610115",serwetki białe chrzest,5
61000,balon 0 złote 061000,9
61001,balon 1 złota 061001,5
61002,balon 2 złota 061002,3
61003,balon 3 złota 061003,4
61004,balon 4 złota 061004,5
61006,balon 6 złota 061006,4
61007,balon 7 złota 061007,2
61008,balon 8 złota 061008,4
61009,balon 9 złota 061009,3
61010,balon 0 srebrne 061010,8
61011,balon 1 srebrna 061011,2
61013,balon 3 srebrna 061013,5
61014,balon 4 srebrna 061014,3
61016,balon 6 srebrna 061016,4
61017,balon 7 srebrna 061017,7
61018,balon 8 srebrna 061018,3
61019,balon 9 srebrna 061019,7
61030,balon cyfra 32' teczowy 0,10
61031,balon cyfra 32' teczowy 1,1
61032,balon cyfra 32' teczowy 2,4
61033,balon cyfra 32' teczowy 3,5
61034,balon cyfra 32' tęczowa 4,8
61035,balon cyfra 32' teczowy 5,6
61036,balon cyfra 32' teczowy 6,7
61037,balon cyfra 32' teczowy 7,9
61038,balon cyfra 32' teczowa 8,7
61039,balon cyfra 32' teczowy 9,8
70440,Zestaw lux Diablica,2
87178,Serwetki Minions,3
87799,Serwetki Cars 3 20szt,5
20097219,opaska diabełki,2
70368-1-2,"Piękna wampirzyca - zestaw , 2 rodzaje",8
11179005215,talerzyk pap.,1
11179005413,talerzyki 22cm,1
11179005802,talerzyki 22cm,2
11179005970,talerzyki klocki 8szt,2
11179050833,Obrus srebrny 137/274cm,5
11179050949,Obrus czerwony,1
11179050956,Obrus biały 137*274,1
,obrus biały 137x274cm,2
11179050987,obrus limonkowy zielony unique party,1
11179242238,obrus girl,2
11179246731,Obrus plastikowy fortnite,2
11179246786,Kubek plastikowy Fortnite,5
11179284801,serwetki 30 16szt,2
11179458066,serwetki ''60'' 16szt,4
11179458462,dekoracje do zawieszenia 60!,2
11179458486,dekoracje do zawieszenia 80!,1
11179499779,balon 18 cali,1
11179512843,talerzyki 8szt,10
11179552955,baner różowy 40th,1
11179553266,dekoracje urodzibnowe 50,1
11179558278,balon ''90'',2
11179582389,banner klocki,5
11179733637,Obrus róż Baby Shower,3
11179749546,Dekoracja na torta Roczek niebieskie,1
11179759491,Dekoracja krzesełko,1
11179783786,Baner unique party,1
11179784080,torba baby,1
11179822140,Kubeczki papierowe baby boy,3
11179822294,Kubeczki Papierowe Słonik,5
11179834556,baner 60 damski,3
11179835621,serwetki 80 meskie,4
11179835744,serwetki 80 damskie,2
11179835751,serwetki 90,1
11179837984,dekoracja sprężynki 30th,2
11179837991,świderki urodzinowe 6 szt.,1
11179838004,Świderki Urodzinowe 6szt,4
11179838011,Dekoracja wisząca 60-tka niebieska,5
11179838141,dekoracje do zawieszenia 60,2
11179848560,Foliowy banner 50th biało-różowy,2
