Rodzaj,Symbol,Nazwa,Grupa,Stan,jm,Cena magazynowa,Cena sprzedaży,Wartość magazynowa,Wartość sprzedaży,Stawka VAT
T,5904610159057,Serwetki,Podstawowa,10,szt.,"3,2",,32,,23
T,"0,5904610115",serwetki białe chrzest,Podstawowa,1,szt.,"3,4",,"3,4",,23
T,0,Klej do balonów,Podstawowa,3,szt.,2,,6,,23
T,11179050833,Obrus srebrny 137/274cm,Podstawowa,5,szt.,"3,04",,"15,2",,23
T,11179050949,Obrus czerwony,Podstawowa,1,szt.,"4,51",,"4,51",,23
T,11179050956,Obrus biały 137*274,Podstawowa,1,szt.,"3,39",,"3,39",,23
T,11179246731,Obrus plastikowy fortnite,Podstawowa,2,szt.,"8,24",,"16,48",,23
T,11179246786,Kubek plastikowy Fortnite,Podstawowa,5,szt.,"2,57",,"12,85",,23
T,11179733637,Obrus róż Baby Shower,Podstawowa,3,szt.,"7,78",,"23,34",,23
T,11179749546,Dekoracja na torta Roczek niebieskie,Podstawowa,1,szt.,"6,79",,"6,79",,23
T,11179822140,Kubeczki papierowe baby boy,Podstawowa,3,szt.,"4,86",,"14,58",,23
T,11179822294,Kubeczki Papierowe Słonik,Podstawowa,4,szt.,"4,86",,"19,44",,23
T,11179838004,Świderki Urodzinowe 6szt,Podstawowa,3,szt.,0,,0,,23
T,11179838011,Dekoracja wisząca 60-tka niebieska,Podstawowa,3,szt.,"7,11",,"21,33",,23
T,13051557973,konfetti baby boy,Podstawowa,1,szt.,"7,78",,"7,78",,23
T,13051558185,konfetti baby girl,Podstawowa,1,szt.,"7,78",,"7,78",,23
T,26635214858,"Balon fol. 24"" SHP Buzz Lightyear",Podstawowa,2,szt.,0,,0,,23
T,26635270229,"Balon foliowy 24"" SHP Angry Birds - Pink Bird",Podstawowa,1,szt.,0,,0,,23
T,26635284455,"Balon foliowy Darth Vader 24""",Podstawowa,3,szt.,"13,22",,"39,66",,23
T,26635295505,balon foliowy 18'',Podstawowa,1,szt.,0,,0,,23
T,26635301466,Balon cyfra 7 czarna 55/86cm,Podstawowa,1,szt.,0,,0,,23
T,26635301824,Balon Foliowy Paw Patrol,Podstawowa,1,szt.,"15,52",,"15,52",,23
T,26635321297,BALON FOLIOWY 30,Podstawowa,1,szt.,"6,05",,"6,05",,23
T,26635321303,balon foliowy 40,Podstawowa,1,szt.,"5,81",,"5,81",,23
T,26635321310,balon foliowy 50,Podstawowa,1,szt.,"5,81",,"5,81",,23
T,26635330978,Balon Girl różowy 55/25cm,Podstawowa,2,szt.,0,,0,,23
T,26635330985,Balon Boy nieb.50/22cm,Podstawowa,1,szt.,0,,0,,23
T,26635331012,Balon fol. LOVE srebrny,Podstawowa,1,op.,0,,0,,23
T,26635332392,balon foliowy 18,Podstawowa,1,szt.,"6,26",,"6,26",,23
T,26635337410,"BAL.FOL. 70 czarny18"" ANAGRAM",Podstawowa,1,szt.,"6,05",,"6,05",,23
T,26635337670,Balon fol. LOVE złoty,Podstawowa,2,op.,"6,5",,13,,23
T,26635340625,balon foliowy happy,Podstawowa,1,szt.,"6,05",,"6,05",,23
T,26635344449,BAL.FOL. 30,Podstawowa,2,szt.,0,,0,,23
T,26635355216,"Balon fol. 18"" SHP Stars Wars Classic",Podstawowa,3,szt.,"7,3",,"21,9",,23
T,26635366847,Balon foliowy Star Wars,Podstawowa,1,szt.,"7,2",,"7,2",,23
T,26635371360,Balon foliowy 18''SQR- Harry Potter,Podstawowa,3,szt.,"9,95",,"29,85",,23
T,26635379854,Balon foliowy Happy Lama,Podstawowa,1,szt.,0,,0,,23
T,26635381949,balon foliowy spider-man,Podstawowa,6,szt.,"16,73",,"100,38",,23
T,26635403696,balon foliowy 1 st birthday,Podstawowa,4,szt.,"4,96",,"19,84",,23
T,26635413923,Balon foliowy,Podstawowa,2,szt.,10,,20,,23
T,26635413947,Balon foliowy,Podstawowa,1,szt.,10,,10,,23
T,26635413954,Balon foliowy,Podstawowa,1,szt.,10,,10,,23
T,26635413978,Balon foliowy,Podstawowa,2,szt.,10,,20,,23
T,26635418690,balon foliowy kula białozłota,Podstawowa,2,szt.,"11,3",,"22,6",,23
T,26635420822,Balon foliowy,Podstawowa,1,szt.,3,,3,,23
T,26635422260,"Balon foliowy Star Wars Mandalorin 24""",Podstawowa,2,szt.,"13,22",,"26,44",,23
T,26635422413,"Balon foliowy Star Wars Mandalorian 18""",Podstawowa,1,szt.,"6,7",,"6,7",,23
T,26635424714,balon foliowy xl blue's clues,Podstawowa,2,szt.,"14,45",,"28,9",,23
T,26635442930,Balon Bing 18'',Podstawowa,1,szt.,0,,0,,23
T,26635466165,balon foliowy stich 45cm,Podstawowa,3,szt.,"6,7",,"20,1",,23
T,26635466172,Balon Foliowy Stitch Disney,Podstawowa,4,szt.,"13,22",,"52,88",,23
T,26635470049,Balon foliowy mały Stitch,Podstawowa,3,szt.,"4,47",,"13,41",,23
T,48419712343,Baner Happy 40 Birthday różowy 1szt.,Podstawowa,3,szt.,0,,0,,23
T,48419926382,"Baner ""I Love You"" 1,7m x 16,5cm , 1szt/op.",Podstawowa,2,op.,7,,14,,23
T,048GJ23568202,Brelok 40 3/516670,Podstawowa,4,szt.,"11,5",,46,,23
T,048GJ23568208,Brelok 40 3/516670,Podstawowa,9,szt.,"11,5",,"103,5",,23
T,61000,balon 0 złote 061000,Podstawowa,9,szt.,"3,85",,"34,65",,23
T,61001,balon 1 złota 061001,Podstawowa,5,szt.,"3,85",,"19,25",,23
T,61002,balon 2 złota 061002,Podstawowa,3,szt.,"3,85",,"11,55",,23
T,61003,balon 3 złota 061003,Podstawowa,4,szt.,"3,85",,"15,4",,23
T,61004,balon 4 złota 061004,Podstawowa,5,szt.,"3,85",,"19,25",,23
T,61006,balon 6 złota 061006,Podstawowa,4,szt.,"3,85",,"15,4",,23
T,61007,balon 7 złota 061007,Podstawowa,2,szt.,"3,85",,"7,7",,23
T,61008,balon 8 złota 061008,Podstawowa,4,szt.,"3,85",,"15,4",,23
T,61009,balon 9 złota 061009,Podstawowa,3,szt.,"3,85",,"11,55",,23
T,61010,balon 0 srebrne 061010,Podstawowa,8,szt.,"3,85",,"30,8",,23
T,61011,balon 1 srebrna 061011,Podstawowa,2,szt.,"3,85",,"7,7",,23
T,61013,balon 3 srebrna 061013,Podstawowa,5,szt.,"3,85",,"19,25",,23
T,61014,balon 4 srebrna 061014,Podstawowa,3,szt.,"3,85",,"11,55",,23
T,61016,balon 6 srebrna 061016,Podstawowa,4,szt.,"3,85",,"15,4",,23
T,61017,balon 7 srebrna 061017,Podstawowa,7,szt.,"3,85",,"26,95",,23
T,61018,balon 8 srebrna 061018,Podstawowa,3,szt.,"3,85",,"11,55",,23
T,61019,balon 9 srebrna 061019,Podstawowa,7,szt.,"3,85",,"26,95",,23
T,61030,balon cyfra 32' teczowy 0,Podstawowa,10,szt.,"3,85",,"38,5",,23
T,61031,balon cyfra 32' teczowy 1,Podstawowa,1,szt.,"3,85",,"3,85",,23
T,61032,balon cyfra 32' teczowy 2,Podstawowa,4,szt.,"3,85",,"15,4",,23
T,61033,balon cyfra 32' teczowy 3,Podstawowa,5,szt.,"3,85",,"19,25",,23
T,61034,balon cyfra 32' tęczowa 4,Podstawowa,8,szt.,"3,65",,"29,2",,23
T,61035,balon cyfra 32' teczowy 5,Podstawowa,6,szt.,"3,85",,"23,1",,23
