Rodzaj,Symbol,Nazwa,Grupa,Stan,jm,Cena magazynowa,Cena sprzedaży,Wartość magazynowa,Wartość sprzedaży,Stawka VAT
T,5201184815106,serwetki myszka miki,Podstawowa,2,szt.,"4,31",,"8,62",,23
T,"0,5904610115",serwetki białe chrzest,Podstawowa,4,szt.,"3,4",,"13,6",,23
T,11179005215,talerzyk pap.,Podstawowa,1,szt.,"5,69",,"5,69",,23
T,11179005413,talerzyki 22cm,Podstawowa,1,szt.,"5,7",,"5,7",,23
T,11179005802,talerzyki 22cm,Podstawowa,2,szt.,"5,7",,"11,4",,23
T,11179005970,talerzyki klocki 8szt,Podstawowa,2,szt.,"7,4",,"14,8",,23
T,11179050956,obrus biały 137x274cm,Podstawowa,2,szt.,"3,39",,"6,78",,23
T,11179050987,obrus limonkowy zielony unique party,Podstawowa,1,szt.,"4,06",,"4,06",,23
T,11179242238,obrus girl,Podstawowa,2,szt.,"10,16",,"20,32",,23
T,11179284801,serwetki 30 16szt,Podstawowa,2,szt.,"5,24",,"10,48",,23
T,11179458066,serwetki ''60'' 16szt,Podstawowa,4,szt.,"4,62",,"18,48",,23
T,11179458462,dekoracje do zawieszenia 60!,Podstawowa,2,szt.,"5,65",,"11,3",,23
T,11179458486,dekoracje do zawieszenia 80!,Podstawowa,1,szt.,"5,65",,"5,65",,23
T,11179499779,balon 18 cali,Podstawowa,1,szt.,"6,1",,"6,1",,23
T,11179512843,talerzyki 8szt,Podstawowa,10,szt.,"2,9",,29,,23
T,11179552955,baner różowy 40th,Podstawowa,1,szt.,"7,31",,"7,31",,23
T,11179553266,dekoracje urodzibnowe 50,Podstawowa,1,szt.,"8,54",,"8,54",,23
T,11179558278,balon ''90'',Podstawowa,2,szt.,4,,8,,23
T,11179582389,banner klocki,Podstawowa,5,szt.,"3,9",,"19,5",,23
T,11179759491,Dekoracja krzesełko,Podstawowa,1,szt.,"10,16",,"10,16",,23
T,11179783786,Baner unique party,Podstawowa,1,szt.,"4,06",,"4,06",,23
T,11179784080,torba baby,Podstawowa,1,szt.,4,,4,,23
T,11179822294,Kubeczki Papierowe Słonik,Podstawowa,1,szt.,"4,88",,"4,88",,23
T,11179834556,baner 60 damski,Podstawowa,3,szt.,"3,65",,"10,95",,23
T,11179835621,serwetki 80 meskie,Podstawowa,4,szt.,"3,25",,13,,23
T,11179835744,serwetki 80 damskie,Podstawowa,2,szt.,"3,25",,"6,5",,23
T,11179835751,serwetki 90,Podstawowa,1,szt.,"3,2",,"3,2",,23
T,11179837984,dekoracja sprężynki 30th,Podstawowa,2,szt.,"7,31",,"14,62",,23
T,11179837991,świderki urodzinowe 6 szt.,Podstawowa,1,szt.,"7,32",,"7,32",,23
T,11179838004,Świderki Urodzinowe 6szt,Podstawowa,1,szt.,"7,32",,"7,32",,23
T,11179838011,Dekoracja wisząca 60-tka niebieska,Podstawowa,2,szt.,"7,31",,"14,62",,23
T,11179838141,dekoracje do zawieszenia 60,Podstawowa,2,szt.,"7,31",,"14,62",,23
T,11179848560,Foliowy banner 50th biało-różowy,Podstawowa,2,szt.,"3,2",,"6,4",,23
T,13051322557,dekoracja piłki koszykowe,Podstawowa,2,szt.,"9,9",,"19,8",,23
T,13051356071,Star decoration,Podstawowa,2,szt.,"10,52",,"21,04",,23
T,13051417925,Foliowy banner 50th,Podstawowa,1,szt.,"3,9",,"3,9",,23
T,13051484408,serwetki ''60'' 16szt,Podstawowa,1,szt.,"4,62",,"4,62",,23
T,13051487119,opaska rogi,Podstawowa,4,szt.,"9,3",,"37,2",,23
T,13051514471,talerzyki papierowe żyrafa,Podstawowa,1,szt.,"3,13",,"3,13",,23
T,13051527839,czapeczki strażak,Podstawowa,1,szt.,"7,7",,"7,7",,23
T,13051535520,obrus welcome little one girl,Podstawowa,1,szt.,"9,55",,"9,55",,23
T,13051535537,serwetki,Podstawowa,2,szt.,"5,78",,"11,56",,23
T,13051537593,czapeczki policja 8szt,Podstawowa,1,szt.,"6,5",,"6,5",,23
T,13051642303,zestaw,Podstawowa,1,szt.,"4,8",,"4,8",,23
T,13051642341,zestaw ''50'',Podstawowa,3,szt.,"4,8",,"14,4",,23
T,13051692537,baner Bing,Podstawowa,5,szt.,"12,2",,61,,23
T,13051692551,obrus Bing,Podstawowa,2,szt.,"12,2",,"24,4",,23
T,13051695538,serwetki mario,Podstawowa,1,szt.,"6,5",,"6,5",,23
T,13051743383,StrażakSam,Podstawowa,3,szt.,"7,5",,"22,5",,23
T,26635070263,balon Bocian,Podstawowa,1,szt.,"20,3",,"20,3",,23
T,26635102254,pająk dekoracyjny,Podstawowa,1,szt.,"11,17",,"11,17",,23
T,26635106184,balon Barbie,Podstawowa,3,szt.,"6,06",,"18,18",,23
T,26635142694,balon panna Młoda,Podstawowa,1,szt.,"20,4",,"20,4",,23
